2MASSJ13233587-4718467	UKN	0
2MASSJ16042165-2130284	PPD	0
51Oph	PPD	0
AKSco	PPD	0
ATPyx	PPD	0
CD-522472	DEB	1
CD-65149	DEB	0
CPD-722713	DEB	1
Elias2-27	PPD	0
GJ581	DEB	1
HD10008	DEB	1
HD100453	PPD	0
HD100546	PPD	0
HD101412	PPD	0
HD102458	DEB	1
HD102647	DEB	1
HD103234	DEB	1
HD103703	DEB	1
HD104231	DEB	1
HD104237	PPD	0
HD10472	DEB	1
HD105613	DEB	1
HD10647	DEB	1
HD10700	DEB	1
HD107146	DEB	1
HD107649	DEB	1
HD109085	DEB	1
HD109832	DEB	1
HD110058	DEB	1
HD110411	DEB	1
HD110634	DEB	1
HD111103	DEB	1
HD111520	DEB	1
HD111631	DEB	1
HD11171	DEB	1
HD113524	DEB	1
HD113556	DEB	1
HD114082	DEB	1
HD115617	DEB	1
HD115820	DEB	1
HD115892	DEB	1
HD120326	DEB	1
HD12039	DEB	1
HD121191	DEB	1
HD121617	DEB	1
HD123889	DEB	1
HD125541	DEB	1
HD126062	DEB	1
HD131511	DEB	1
HD131835	DEB	1
HD13246	DEB	1
HD134888	DEB	1
HD135953	DEB	1
HD138813	DEB	1
HD139614	PPD	0
HD139664	DEB	0
HD141521	DEB	0
HD141569	PPD	0
HD141943	DEB	0
HD142527	PPD	0
HD142666	PPD	0
HD143006	PPD	0
HD144432	PPD	0
HD144668	PPD	0
HD145263	PPD	0
HD145689	PPD	0
HD145964	DEB	1
HD145972	PPD	0
HD1461	DEB	1
HD146181	DEB	1
HD1466	DEB	1
HD146624	DEB	1
HD146897	DEB	1
HD15115	DEB	1
HD152404	PPD	0
HD156623	DEB	1
HD1581	DEB	1
HD158643	PPD	0
HD163296	PPD	0
HD166348	PPD	0
HD16743	DEB	1
HD169022	DEB	1
HD169142	PPD	0
HD172555	DEB	1
HD177171	DEB	1
HD179218	PPD	0
HD17925	DEB	1
HD179520	DEB	1
HD181296	DEB	1
HD181327	DEB	1
HD183324	DEB	1
HD186219	DEB	0
HD188228	DEB	0
HD190073	PPD	0
HD191089	DEB	1
HD191849	DEB	1
HD192758	DEB	1
HD193571	DEB	0
HD194636	TEST	0
HD196544	DEB	1
HD19668	DEB	1
HD197481	DEB	1
HD197890	DEB	1
HD199260	DEB	1
HD19994	DEB	1
HD202628	DEB	1
HD202730	DEB	1
HD203	DEB	1
HD206860	DEB	1
HD207129	DEB	1
HD20807	DEB	1
HD209253	DEB	1
HD212695	DEB	1
HD213398	DEB	1
HD215766	DEB	1
HD216435	DEB	1
HD218340	DEB	1
HD218511	DEB	1
HD219482	DEB	1
HD21997	DEB	1
HD22049	DEB	1
HD220825	DEB	1
HD221853	DEB	1
HD222368	DEB	1
HD223340	DEB	1
HD223352	DEB	1
HD22484	DEB	1
HD2262	DEB	1
HD23356	DEB	1
HD23484	DEB	1
HD25457	DEB	1
HD259431	PPD	0
HD27290	DEB	1
HD283571	PPD	0
HD3003	DEB	1
HD30422	DEB	1
HD30447	DEB	1
HD30495	DEB	1
HD31648	PPD	0
HD32297	DEB	1
HD34282	PPD	0
HD35114	DEB	1
HD35187	PPD	0
HD35850	DEB	1
HD36112	PPD	0
HD3670	DEB	1
HD36910	PPD	0
HD36968	DEB	1
HD37411	PPD	0
HD37484	DEB	1
HD377	DEB	1
HD37806	PPD	0
HD38120	PPD	0
HD38206	DEB	1
HD38397	DEB	1
HD38678	DEB	1
HD40136	DEB	1
HD43989	DEB	1
HD46190	DEB	1
HD48370	DEB	1
HD5133	DEB	1
HD53143	DEB	1
HD58647	PPD	0
HD59967	DEB	1
HD61005	DEB	1
HD62237	ERA	1
HD69830	DEB	1
HD70573	DEB	1
HD71043	DEB	1
HD71155	DEB	1
HD72106	PPD	0
HD72660	DEB	0
HD7570	DEB	1
HD76151	DEB	1
HD85567	PPD	0
HD870	DEB	1
HD90905	DEB	1
HD92536	DEB	0
HD92945	DEB	1
HD95881	PPD	0
HD9672	DEB	1
HD97048	PPD	0
HD98058	DEB	1
HD98922	PPD	0
HIP35488	PPD	0
HIP6276	DEB	1
HIP65021	PL	0
HIP65426	SPH	1
HLTau	PPD	0
HR4368	DEB	1
IMLup	PPD	0
KKOph	PPD	0
MML28	DEB	1
MML36	DEB	1
MML8	DEB	1
NLTT54872	DEB	1
PDS44	SPH	1
PDS77	PPD	0
RCrA	PPD	0
SAO150676	DEB	1
TCrA	PPD	0
TWHya	PPD	0
TYC7851-810-1	PPD	0
V1032Cen	PPD	0
V4046Sgr	PPD	0
V892Tau	PPD	0
WLY2-48	PPD	0
